DATE,TITLE,SUMMARY
"Sun, 26 Oct 2025 10:58:53 GMT",Two arrested over theft of jewels at Louvre museum in Paris,"Four thieves broke into the world's most-visited museum in broad daylight, stealing eight items worth €88m (£76m; $102m)."
"Sun, 26 Oct 2025 07:18:49 GMT",Trump presides over Thai-Cambodia 'peace deal' - but what does it mean?,"Trump calls it historic, Thailand only calls is ""a pathway to peace"", but all sides hope the agreement will stick."
"Sun, 26 Oct 2025 08:07:39 GMT",Harris 'concerned' she did not ask Biden to quit race,The former vice-president tells the BBC she is not sure whether it was “grace or recklessness” that stopped her speaking up.
"Sun, 26 Oct 2025 10:28:16 GMT",Hurricane Melissa strengthens as it barrels towards Jamaica,"The rare highest-strength storm is set to hit Jamaica by Tuesday, having already caused two deaths in Haiti."
"Sun, 26 Oct 2025 06:38:54 GMT",Trump raises tariffs on Canadian goods over Reagan advert,"Saying that airing the advert was a hostile act, Trump announces an additional 10% on top of his existing levies."
"Sun, 26 Oct 2025 13:14:37 GMT",Russia says it has tested nuclear-powered Burevestnik missile,The experimental weapon is hailed as having a potentially unlimited range  - though Western experts have questioned its value.
"Sun, 26 Oct 2025 10:57:16 GMT",Rebel group claims capture of Sudan army headquarters in key city,The fall of the base in el-Fasher is step closer towards the RSF cementing its control in the west.
"Sun, 26 Oct 2025 13:01:58 GMT",Georgia arrests three for trying to illegally buy 2kg of uranium,"Three Chinese nationals face prison time for attempting to purchase $400,000 of nuclear material."
"Sun, 26 Oct 2025 09:36:12 GMT","Three killed in Russian strikes on Kyiv, officials say","At least 32 others were injured in the attack, including six children, the city's mayor says."
"Sat, 25 Oct 2025 23:19:28 GMT",​​Women welcome arrest of charity boss identified in BBC sex-for-aid investigation,Syrian refugees in Turkey allege they were taken advantage of when they were desperate for help.
"Sun, 26 Oct 2025 13:37:35 GMT",Mystery donor gives $130m to US military to pay troops during shutdown,"The Treasury Secretary says the US has enough for the next military payday, but can't pay service members after that."
"Sat, 25 Oct 2025 21:34:39 GMT",Connolly declared president of Ireland after landslide win,"Catherine Connolly, an independent who was backed by the major left-wing parties, pledges to be ""an inclusive president for all""."
"Sat, 25 Oct 2025 17:28:49 GMT",Man arrested after viral video of alleged rape attempt on Paris train,"Alerted by a woman's screams, another passenger pulled out her phone to film the alleged attack."
"Sat, 25 Oct 2025 21:27:26 GMT",Louvre moves jewels to ultra-secure Bank of France vault after heist,"They will now be stored in the Bank's most secure vault, behind a seven-tonne door 26m underground."
"Sat, 25 Oct 2025 14:11:25 GMT",Hundreds of smartphones intensified India bus blaze - reports,"The bus was carrying 234 smartphones that likely ruptured, exacerbating the fire, officials told local media."
"Sat, 25 Oct 2025 13:07:30 GMT",Trump hopes China will help push Russia towards Ukraine peace talks,"Struggling to broker a peace deal in Ukraine, Trump hopes Xi Jinping could influence Vladimir Putin."
"Sat, 25 Oct 2025 00:27:13 GMT",Thailand's former queen Sirikit dies aged 93,"The mother of King Vajiralongkorn passed away ""peacefully"" on Friday night, according to the Thai Royal Household."
"Sat, 25 Oct 2025 11:32:01 GMT",Ousted Madagascan president stripped of citizenship,"Andry Rajoelina, who was removed from power in a coup last week, had already acquired French nationality."
